estado,desde,hasta,exacta_desde,exacta_hasta,acto,fuente
En funciones,1908-01-01,1921-07-07,0,1,Presupuesto municipal de 1908; Dto. 1669 invoca sus ternas,BO 1908 / 1921
Sin comision municipal,1921-07-07,1922-04-18,0,1,El Dto. 510 dice que el departamento carece de ella,BO 906 h3
Designada por Interventor Nacional,1922-04-18,1923-09-24,1,1,Dto. 510; rectificado en junio de 1922,BO 906 h3 / 910 h9
Intervenida,1923-09-24,1924-04-15,1,0,Dto. 1161; Interventor Eduardo F. Harbin,BO 978 h1-2
Designada por decreto,1924-04-15,1925-06-02,1,1,Dto. 1576 (expte. 4969 F),BO 1007 h3
Desintegrada,1925-06-02,1925-06-25,1,1,Dto. 2575; el Dto. 2671 la declara desintegrada,BO 1067 h4 / 1070 h6
Designada por decreto,1925-06-25,1928-05-09,1,1,Dto. 2671,BO 1070 h6
Acefala,1928-05-09,1928-06-26,1,1,Dto. 7096; comisionado ad honorem Luis E. Guardo,BO 1222 h6
Designada por decreto,1928-06-26,1930-09-06,1,0,Dto. 9306,BO 1928
Designada por Interventor Nacional,1930-09-06,1932-12-31,0,0,Los actos del departamento los firma el Interventor Nacional,BO 1930-1932
En funciones,1933-04-01,1936-12-31,0,0,Augusto Regis presidente en 1933 y en 1936,BO 1475 h5 / 1618 h2
