orden,municipio,recaudacion_1946,porcentaje,acto,fuente
1,Salta - Capital,1298124,54.116,Decreto 5276-E,B.O. 2909 h.5
2,Orán,201982,8.446,Decreto 5276-E,B.O. 2909 h.5
3,Metán,129762,5.428,Decreto 5276-E,B.O. 2909 h.5
4,Tartagal,140280,6.286,Decreto 5276-E,B.O. 2909 h.5
5,Rosario de la Frontera,89857,3.768,Decreto 5276-E,B.O. 2909 h.5
6,General Güemes,79040,3.306,Decreto 5276-E,B.O. 2909 h.5
7,Campo Santo,37637,1.166,Decreto 5276-E,B.O. 2909 h.5
8,Embarcación,38866,1.626,Decreto 5276-E,B.O. 2909 h.5
9,Rosario de Lerma,25721,1.086,Decreto 5276-E,B.O. 2909 h.5
10,Joaquín V. González,37669,1.578,Decreto 5276-E,B.O. 2909 h.5
11,Cafayate,28346,1.186,Decreto 5276-E,B.O. 2909 h.5
12,San Antonio de los Cobres,27955,1.176,Decreto 5276-E,B.O. 2909 h.5
13,El Galpón,24611,1.036,Decreto 5276-E,B.O. 2909 h.5
14,Cerrillos,19737,0.826,Decreto 5276-E,B.O. 2909 h.5
15,El Quebrachal,11128,0.406,Decreto 5276-E,B.O. 2909 h.5
16,La Merced,14300,0.596,Decreto 5276-E,B.O. 2909 h.5
17,Chicoana,16993,0.716,Decreto 5276-E,B.O. 2909 h.5
18,Pichanal,17474,0.736,Decreto 5276-E,B.O. 2909 h.5
19,Campo Quijano,15000,0.626,Decreto 5276-E,B.O. 2909 h.5
20,Aguaray,16216,0.676,Decreto 5276-E,B.O. 2909 h.5
21,El Tala,14241,0.596,Decreto 5276-E,B.O. 2909 h.5
22,El Potrero,8392,0.366,Decreto 5276-E,B.O. 2909 h.5
23,Río Piedras,7240,0.316,Decreto 5276-E,B.O. 2909 h.5
24,San Carlos,5212,0.206,Decreto 5276-E,B.O. 2909 h.5
25,El Piquete,6520,0.277,Decreto 5276-E,B.O. 2909 h.5
26,El Carril,8141,0.357,Decreto 5276-E,B.O. 2909 h.5
27,San Lorenzo,10879,0.457,Decreto 5276-E,B.O. 2909 h.5
28,Colonia Santa Rosa,9258,0.397,Decreto 5276-E,B.O. 2909 h.5
29,Coronel Moldes,4920,0.207,Decreto 5276-E,B.O. 2909 h.5
30,La Caldera,3068,0.127,Decreto 5276-E,B.O. 2909 h.5
31,Cachi,2406,0.107,Decreto 5276-E,B.O. 2909 h.5
32,Urundel,2312,0.097,Decreto 5276-E,B.O. 2909 h.5
