orden,rio,detalle,monto,del_departamento,fuente
1,Río Rosario (Toro),1ª etapa,80000,0,Ley 834 Item 6
2,Mojotoro,1ª etapa,100000,1,Ley 834 Item 6
3,Chuñapampa,,20000,0,Ley 834 Item 6
4,Río Cachi,1ª etapa,40000,0,Ley 834 Item 6
5,La Caldera,1ª etapa,50000,1,Ley 834 Item 6
6,Calchaquí,San José de Cachi y San Carlos - 1ª etapa,80000,0,Ley 834 Item 6
7,Juramento,El Galpón - 1ª etapa,50000,0,Ley 834 Item 6
8,Iruya,1ª etapa,30000,0,Ley 834 Item 6
9,Wierna,1ª etapa,50000,1,Ley 834 Item 6
10,Otras defensas,imprevistas de emergencia en distintos lugares,60000,0,Ley 834 Item 6
