anio,que,monto,estado,fuente
1929,Terreno para la Casa Municipal (Ley 11088),500,autorizado,libro cap. 6 (presencia)
1934,"Escuela provincial del pueblo, un año (Ley 146)",3900,funciona,libro cap. 6 (presencia)
1935,Espigón de emergencia sobre el río,500,liquidado,libro cap. 6 y cronología 1935
1935,Reforma de la Iglesia Parroquial (Ley 172),7000,autorizado,libro cap. 6 (presencia)
1935,Estación sanitaria tipo B (Ley 158),18360,sin_rastro,libro cap. 6: no reaparece en las ediciones leídas de 1923-1945
1936,Guarda sanitario por treinta días,150,liquidado,libro cap. 6 (presencia)
1937,Gimnasio (Ley 439; recibido en 1941-1942),1500,entregado,libro cap. 6 (presencia)
1940,Puente Río Caldera en el plan de quince años (Ley 12.625),200000,en_plan,libro cap. 26 (infraestructura)
1944,Refección de la comisaría (certificado final y adicional),5573.80,entregado,libro cap. 10 (defensas): 5.018.02 + 555.78
1945,Defensa del río por vía administrativa,2515,liquidado,libro caps. 4 y 26: sin certificado ni recepción
1947,Defensas del río La Caldera (Ley 834 Ítem 6),50000,sin_rastro,libro cap. 4 y lámina de defensas
1947,Puente sobre el río La Caldera en el plan de Vialidad,690000,en_plan,cronología 1947 (verificado sobre el facsímil)
1948,Sanitarios de la escuela provincial del pueblo,35026.99,autorizado,cronología 1948
1949,Estación sanitaria (Ley 770): certificado Nº 1,27024.10,entregado,cronología 1949 y 1950; libro cap. 4
