catastro,grupo,acto
216,ribera,"Res. 009/12, 57/2025 y 130/2025"
3017,ribera,Res. 125/2021 y 107/2022
1566,ribera,Res. 23/2021
1122,ribera,Res. 56/2025
2342,ribera,Res. 205 y 210-212/17
2343,ribera,Res. 205 y 210-212/17
2344,ribera,Res. 205 y 210-212/17
2345,ribera,Res. 205 y 210-212/17
2318,ribera,Res. 51 y 167/2022
2320,ribera,Res. 51 y 167/2022
1000,ribera,Res. 209/2022
1095,ribera,Res. 206/2022
1750,ribera,Res. 182/2021
2340,ribera,Res. 61/2024
2821,ribera,Res. 75/2020 (con zona inundable)
4027,ribera,Res. 94/12
3756,ribera,Res. 292/13 y 142/2025
4146,ribera,"Res. 291/16, 279/17, 108/2025"
40,ribera,"Res. 147/16, 414/16, 144/17"
200,ribera,Res. 338/16
23,ribera,Res. 198/15 y 322/15
4097,ribera,"Res. 360/16, 304/17, 44/2021, 94/2022"
3722,ribera,"Res. 74/15, 293/15, 154/16"
2020,ribera,Res. 428/15
1821,ribera,Res. 181/2020
47,ribera,Res. 174/2021
3438,ribera,"Res. 319/15, 360/16, 304/17"
5928,ribera,Res. 327/19
1499,ribera,Res. 282/16
1534,comision,Res. 290/16: comision designada; la busqueda por el expediente no devuelve determinacion
4095,concesion,Las Vertientes (2017)
1782,concesion,Skru S.A. (2019)
5925,concesion,El Chalchal S.R.L. y otro (2025)
3307,concesion,Valle Hermoso S.R.L. (2019)
1673,concesion,Arzobispado de Salta (2024)
2762,concesion,Vivero (2023)
6582,riego,Riego del catastro 2907 (2021)
5009,riego,"Riego del catastro 3721 (2018, 2022)"
5010,riego,"Riego del catastro 3721 (2018, 2022)"
3436,riego,Riego del catastro 169 (2022)
3437,riego,Riego del catastro 169 (2022)
7155,riego,"Riego de los catastros 84, 2264 y 2932 (2023)"
7156,riego,"Riego de los catastros 84, 2264 y 2932 (2023)"
3127,riego,Riego del catastro 38 (2005)
