resolucion,expediente,matricula,curso,margen,punto,X,Y,sistema,orden_publicacion,bo,url,consulta
428/15,34-185.548/14,"2020 Fracc. A, Finca Wierna",La Caldera,izq,LRi1,3562054.2,7273711.58,"Gauss-Krüger faja 3 (el edicto no declara el marco; se asume POSGAR 94, EPSG:22183)",100052034,10/02/2016; 11/02/2016,https://boletinoficialsalta.gob.ar/Imprimir_doc.php?cXdlcnR5dGFibGE9QXwxMDAwNTIwMzQmY2FiZT08aDY+IFB1YmxpY2FkbyBlbiBlbCBCb2xldMODwq1uIE9maWNpYWwgTsOCwrAgMTk3MTZ8MjAxNiwgZWwgZMODwq1hIDI2IGRlIEZlYnJlcm8gZGUgMjAxOTwvaDY+PEJSPnF3ZXJ0eQ=%3D,18/09/2026
428/15,34-185.548/14,"2020 Fracc. A, Finca Wierna",La Caldera,izq,LRi2,3562049.42,7273667.13,"Gauss-Krüger faja 3 (el edicto no declara el marco; se asume POSGAR 94, EPSG:22183)",100052034,10/02/2016; 11/02/2016,https://boletinoficialsalta.gob.ar/Imprimir_doc.php?cXdlcnR5dGFibGE9QXwxMDAwNTIwMzQmY2FiZT08aDY+IFB1YmxpY2FkbyBlbiBlbCBCb2xldMODwq1uIE9maWNpYWwgTsOCwrAgMTk3MTZ8MjAxNiwgZWwgZMODwq1hIDI2IGRlIEZlYnJlcm8gZGUgMjAxOTwvaDY+PEJSPnF3ZXJ0eQ=%3D,18/09/2026
428/15,34-185.548/14,"2020 Fracc. A, Finca Wierna",La Caldera,izq,LRi3,3562049.42,7273640.31,"Gauss-Krüger faja 3 (el edicto no declara el marco; se asume POSGAR 94, EPSG:22183)",100052034,10/02/2016; 11/02/2016,https://boletinoficialsalta.gob.ar/Imprimir_doc.php?cXdlcnR5dGFibGE9QXwxMDAwNTIwMzQmY2FiZT08aDY+IFB1YmxpY2FkbyBlbiBlbCBCb2xldMODwq1uIE9maWNpYWwgTsOCwrAgMTk3MTZ8MjAxNiwgZWwgZMODwq1hIDI2IGRlIEZlYnJlcm8gZGUgMjAxOTwvaDY+PEJSPnF3ZXJ0eQ=%3D,18/09/2026
428/15,34-185.548/14,"2020 Fracc. A, Finca Wierna",La Caldera,izq,LRi4,3562061.82,7273597.5,"Gauss-Krüger faja 3 (el edicto no declara el marco; se asume POSGAR 94, EPSG:22183)",100052034,10/02/2016; 11/02/2016,https://boletinoficialsalta.gob.ar/Imprimir_doc.php?cXdlcnR5dGFibGE9QXwxMDAwNTIwMzQmY2FiZT08aDY+IFB1YmxpY2FkbyBlbiBlbCBCb2xldMODwq1uIE9maWNpYWwgTsOCwrAgMTk3MTZ8MjAxNiwgZWwgZMODwq1hIDI2IGRlIEZlYnJlcm8gZGUgMjAxOTwvaDY+PEJSPnF3ZXJ0eQ=%3D,18/09/2026
428/15,34-185.548/14,"2020 Fracc. A, Finca Wierna",La Caldera,izq,LRi5,3562055.1,7273571.2,"Gauss-Krüger faja 3 (el edicto no declara el marco; se asume POSGAR 94, EPSG:22183)",100052034,10/02/2016; 11/02/2016,https://boletinoficialsalta.gob.ar/Imprimir_doc.php?cXdlcnR5dGFibGE9QXwxMDAwNTIwMzQmY2FiZT08aDY+IFB1YmxpY2FkbyBlbiBlbCBCb2xldMODwq1uIE9maWNpYWwgTsOCwrAgMTk3MTZ8MjAxNiwgZWwgZMODwq1hIDI2IGRlIEZlYnJlcm8gZGUgMjAxOTwvaDY+PEJSPnF3ZXJ0eQ=%3D,18/09/2026
428/15,34-185.548/14,"2020 Fracc. A, Finca Wierna",La Caldera,izq,LRi6,3562044.48,7273552.32,"Gauss-Krüger faja 3 (el edicto no declara el marco; se asume POSGAR 94, EPSG:22183)",100052034,10/02/2016; 11/02/2016,https://boletinoficialsalta.gob.ar/Imprimir_doc.php?cXdlcnR5dGFibGE9QXwxMDAwNTIwMzQmY2FiZT08aDY+IFB1YmxpY2FkbyBlbiBlbCBCb2xldMODwq1uIE9maWNpYWwgTsOCwrAgMTk3MTZ8MjAxNiwgZWwgZMODwq1hIDI2IGRlIEZlYnJlcm8gZGUgMjAxOTwvaDY+PEJSPnF3ZXJ0eQ=%3D,18/09/2026
428/15,34-185.548/14,"2020 Fracc. A, Finca Wierna",La Caldera,izq,LRi7,3562056.84,7273525.19,"Gauss-Krüger faja 3 (el edicto no declara el marco; se asume POSGAR 94, EPSG:22183)",100052034,10/02/2016; 11/02/2016,https://boletinoficialsalta.gob.ar/Imprimir_doc.php?cXdlcnR5dGFibGE9QXwxMDAwNTIwMzQmY2FiZT08aDY+IFB1YmxpY2FkbyBlbiBlbCBCb2xldMODwq1uIE9maWNpYWwgTsOCwrAgMTk3MTZ8MjAxNiwgZWwgZMODwq1hIDI2IGRlIEZlYnJlcm8gZGUgMjAxOTwvaDY+PEJSPnF3ZXJ0eQ=%3D,18/09/2026
428/15,34-185.548/14,"2020 Fracc. A, Finca Wierna",La Caldera,izq,LRi8,3562052.22,7273475.8,"Gauss-Krüger faja 3 (el edicto no declara el marco; se asume POSGAR 94, EPSG:22183)",100052034,10/02/2016; 11/02/2016,https://boletinoficialsalta.gob.ar/Imprimir_doc.php?cXdlcnR5dGFibGE9QXwxMDAwNTIwMzQmY2FiZT08aDY+IFB1YmxpY2FkbyBlbiBlbCBCb2xldMODwq1uIE9maWNpYWwgTsOCwrAgMTk3MTZ8MjAxNiwgZWwgZMODwq1hIDI2IGRlIEZlYnJlcm8gZGUgMjAxOTwvaDY+PEJSPnF3ZXJ0eQ=%3D,18/09/2026
428/15,34-185.548/14,"2020 Fracc. A, Finca Wierna",La Caldera,izq,LRi9,3562044.34,7273448.93,"Gauss-Krüger faja 3 (el edicto no declara el marco; se asume POSGAR 94, EPSG:22183)",100052034,10/02/2016; 11/02/2016,https://boletinoficialsalta.gob.ar/Imprimir_doc.php?cXdlcnR5dGFibGE9QXwxMDAwNTIwMzQmY2FiZT08aDY+IFB1YmxpY2FkbyBlbiBlbCBCb2xldMODwq1uIE9maWNpYWwgTsOCwrAgMTk3MTZ8MjAxNiwgZWwgZMODwq1hIDI2IGRlIEZlYnJlcm8gZGUgMjAxOTwvaDY+PEJSPnF3ZXJ0eQ=%3D,18/09/2026
428/15,34-185.548/14,"2020 Fracc. A, Finca Wierna",La Caldera,izq,LRi10,3562048.6,7273397.17,"Gauss-Krüger faja 3 (el edicto no declara el marco; se asume POSGAR 94, EPSG:22183)",100052034,10/02/2016; 11/02/2016,https://boletinoficialsalta.gob.ar/Imprimir_doc.php?cXdlcnR5dGFibGE9QXwxMDAwNTIwMzQmY2FiZT08aDY+IFB1YmxpY2FkbyBlbiBlbCBCb2xldMODwq1uIE9maWNpYWwgTsOCwrAgMTk3MTZ8MjAxNiwgZWwgZMODwq1hIDI2IGRlIEZlYnJlcm8gZGUgMjAxOTwvaDY+PEJSPnF3ZXJ0eQ=%3D,18/09/2026
